800214679;Fundación Esperanza Y Vida;Andes;Barrios Unidos;Carrera  65 # 78 - 31 ;4.679317, -74.080111
900176335;Fundación Senderos de Vida;Santa Maria Del Lago;Engativá;Carrera  72 Bis # 76 - 42 ;4.692977, -74.092107
900291788;Fundación Hogar Gerontológico Amor y Vida, Atención Integral del Adulto Mayor ;Cartilla;Kennedy;Carrera  77 #7F-20;4.654475, -74.129205
860506429;Congr. Hnas Terciarias Capuchinas Sgda Flia Prov ntra Sra Montiel Hogar Amor y Vida ;;Suba;Carrera  44 #22A-05;4.632053, -74.095729
800100764;Asociación nueva Vida en Cristo;Carvajal;Kennedy;Calle 37 Sur #72L-41;4.615426, -74.143408
830081458;Parroquia Beato Guillermo José Chaminade portal sur;;Rafael Uribe;Carrera  1 #51-74 Sur;4.542149, -74.110429
900656373;Fundación Creando Sueños para el Futuro;Suba;Engativá;Carrera  97 #133-04 ;4.735011, -74.092192
830045172;Asociación nuevo Milenio ;Barrio La Roca;San Cristóbal ;Calle 6 D #8-63 Este;4.577393, -74.077098
900409877;Biblioteca Ludoteca Palabritas; Barrio San Martín;San Cristóbal ;Carrera  1 C # 95 - 96 Sur;4.502926, -74.117315
830039130;Fundación Caminos de Libertad;Teusaquillo;La Candelaria;Av Caracas #36-41;4.625323, -74.069276
830084156;Fundación Amigos del Abuelo;Sta Isabel;La Candelaria;Calle 1D #25-44;4.596041, -74.098344
830138778;Fundapan Plan de Ayuda al necesitado;Bilbao;Engativá;Carrera  141 C # 143 B - 30;4.752806, -74.112451
900048877;Fundación Forjadores de Tejido Social ;Buena Vista;Usaquén;Carrera  6 # 189 A - 15;4.766412, -74.026035
900202768;Fundacion Mirada Libre Colombia ;Quintas Del Sur (Conjunto Residencial);Ciudad Bolívar;Carrera  17 F # 71 A - 95 Sur;4.660024, -74.063491
900018999;Fundación Bondad Internacional ;Perseverancia;Santa Fé;Calle 68 #  14A 60;4.655501, -74.064250
900087782;Fundación Refugio de los Recuerdos;San Miguel;Barrios Unidos;Carrera  44 #67-30;4.654280, -74.100647
830013717;Fundación Kolping;Teusaquillo;Teusaquillo;Carrera  16 # 35 - 41;4.624458, -74.071177
800112909;Asociacion de Hogares Comunitarios de Bienestar Mundo Feliz;Yomasa;Usme;Carrera  2 B Este # 81 - 31 Sur;4.650250, -74.050143
830137451;Proyecto Union;;La Candelaria;Carrera  59C # 130-21;4.721554, -74.072224
900347027;Fundación social semillas de Luz;Ciudad Latina;Soacha;  Calle 3 # 22 - 04;4.596352, -74.092372
832010086;Fundación Multicentro Shekinah;Sibate;Sibaté;Diagonal2 #2-16;4.693221, -74.199422
860006696;Hijas de la Caridad de San vicente de paul - Centro Comunitario Arabia;;Martires;Carrera  18 I # 82 A - 29 Sur Ciudad Bolivar;4.610724, -74.080328
830141307;Fundación de desarrollo y bienestar social Multiactiva- FUnDEBYSMU;;Soacha;Transversal 80 H # 65 F - 28 ;4.700519, -74.096512
800025766;Asociación Universitaria Colombia ;Teusaquillo;Teusaquillo;Calle 46 #16-09;4.634261, -74.069899
800030867;Parroquia Santa Maria de nazareth;Soacha;Soacha;Tv 17 #6-50 Sur;4.710960, -74.205274
900483551;Fundación Transcendo con un Propósito de Vida;La Floresta;Barrios Unidos;Calle 101 # 66 - 34;4.690142, -74.070744
